,date,temperature,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness,bpm
137,2021-12-13,-2.6309578407187324,75,17,21,37,76,58,0.0813559322033898,69.89574468085107
138,2022-02-22,-1.8176034191561383,80,20,19,41,33,57,0.0656219392752203,67.50659081448592
139,2022-05-03,-2.7257456822702784,77,21,20,36,59,57,0.0704041720990873,63.80578755440536
140,2022-05-17,-2.0760416666666655,78,18,19,41,94,50,0.0646506777893639,57.78061224489796
141,2022-05-17,-2.0760416666666655,78,18,19,41,94,50,0.0646506777893639,60.305681246857716
142,2022-05-16,-3.003006329113923,80,19,22,39,86,52,0.0711111111111111,53.52892561983471
143,2022-05-16,-3.003006329113923,80,19,22,39,86,52,0.0711111111111111,60.76134078212291
144,2022-05-02,-3.1208210912601215,86,22,19,45,84,58,0.0644038294168842,58.24590163934426
145,2022-05-02,-3.1208210912601215,86,22,19,45,84,58,0.0644038294168842,68.500693481276
146,2021-12-12,-1.393574329738934,85,20,21,44,92,60,0.0857392825896763,61.990533320836064
147,2021-12-12,-1.393574329738934,85,20,21,44,92,60,0.0857392825896763,63.92842535787321
148,2022-05-27,-2.191655471592495,80,22,18,40,103,56,0.089808274470232,66.07300884955752
149,2022-05-27,-2.191655471592495,80,22,18,40,103,56,0.089808274470232,65.09330669330669
150,2022-02-12,-1.8544111118678086,78,21,16,41,92,58,0.0736318407960199,59.27696078431372
151,2022-02-12,-1.8544111118678086,78,21,16,41,92,58,0.0736318407960199,68.18727206418673
152,2021-12-23,-1.8224794352833134,78,17,20,41,68,62,0.0808290155440414,67.02874743326488
153,2021-12-23,-1.8224794352833134,78,17,20,41,68,62,0.0808290155440414,66.69695618240607
154,2022-02-06,-2.890408533069765,76,21,14,41,73,59,0.0658561296859169,68.60676532769556
155,2022-02-06,-2.890408533069765,76,21,14,41,73,59,0.0658561296859169,71.8920521945433
156,2021-12-22,-1.7524780494662848,74,17,19,38,54,62,0.0791527313266443,69.98239626369678
157,2021-12-22,-1.7524780494662848,74,17,19,38,54,62,0.0791527313266443,60.52665245202559
158,2022-02-07,-2.4533802479773996,77,20,19,38,52,61,0.059371362048894,67.54122323374791
159,2022-02-07,-2.4533802479773996,77,20,19,38,52,61,0.059371362048894,67.61342592592592
160,2022-02-13,-2.736782895469989,85,21,19,45,60,59,0.0669491525423728,62.69747899159664
161,2022-02-13,-2.736782895469989,85,21,19,45,60,59,0.0669491525423728,73.02576112412179
162,2022-05-26,-1.8533915827036063,77,22,13,42,83,55,0.070210631895687,61.89384288747346
163,2022-05-26,-1.8533915827036063,77,22,13,42,83,55,0.070210631895687,67.2015992003998
164,2022-05-30,-2.712636029323538,75,21,17,37,70,55,0.0529344073647871,59.70137299771167
165,2022-05-30,-2.712636029323538,75,21,17,37,70,55,0.0529344073647871,64.21624134724662
166,2022-05-24,-1.7344634955752196,74,18,20,36,47,57,0.088335220838052,60.481818181818184
167,2022-05-24,-1.7344634955752196,74,18,20,36,47,57,0.088335220838052,63.58831865573438
